MMS ID,Main title,Subject,Place of publication,Date 1,Language original,ie_folders
9924898590101488,"Histoire des decouvertes et conquestes des Portugais dans le nouveau monde,",KUL #GBIB: jesuitica;UDC 910.4 <469> Ontdekkingsreizen. Reizen. Expedities. Reisverhalen--<plaats>--Portugal;UDC 946.9 Geschiedenis van Portugal,Paris,1734,,IE49482170|IE49486724|IE49488637|IE49491975
9928448970101488,Voyage en Égypte et en Nubie,UDC 910.4 <620> Ontdekkingsreizen. Reizen. Expedities. Reisverhalen--<plaats>--Egypte,Bruxelles,1846,,IE53874119|IE53874800
9932259230101488,"Dagboek gehouden door den Missionaris, Pater M. Poell op zijne reis over Frankrijk, Italië, Egypte en het H. Land naar China. (uitgegeven ten voordeele der missie).",UDC 271.3-9 Franciskaanse missies;UDC 910.4 <51> Ontdekkingsreizen. Reizen. Expedities. Reisverhalen--<plaats>--China,'s-Hertogenbosch,1875,,IE39146388
9932596530101488,"Aanmerkelijke en Geheugenis-waardige scheeps-togt, van Eduard Lopez, Portugeez, Gedaan na 't vermaarde Koningrijk Congo in Africa, Anno 1578. Bevattende een Curieuse Beschrijving van 't selve, nevens de Landen van Angola, Loango, Batta, en meer andere. ...","UDC 910.4 ""15"" Ontdekkingsreizen. Reizen. Expedities--""tijd""--16e eeuw. Periode 1500-1599;UDC 910.4 <67> Ontdekkingsreizen. Reizen. Expedities. Reisverhalen--<plaats>--Equatoriaal en Centraal Afrikaanse Staten. Centraal-Afrika. Midden-Afrika",Te Leyden,1706,por,IE49506165
9939467910101488,Storia delle relazioni vicendevoli dell'Europa e dell'Asia dalla decadenza di Roma fino alla distruzione del califfato,UDC 910.4 <5> Ontdekkingsreizen. Reizen. Expedities. Reisverhalen--<plaats>--Azië,Firenze,1827,,IE41447475|IE41449428
9975004510101488,"A travers l'hémisphère sud ou Mon second voyage autour du monde (Portugal, Sénégal, Brésil, Uruguay, République Argentine, Chili, Pérou.)","UDC 910.4 ""18"" Ontdekkingsreizen. Reizen. Expedities--""tijd""--19e eeuw. Periode 1800-1899",Paris,1887,,IE53875449
9988121580101488,Journal d'un voyage en France et lettres écrites d'Italie,UDC 910.4 <44> Ontdekkingsreizen. Reizen. Expedities. Reisverhalen--<plaats>--Frankrijk;UDC 910.4 <45> Ontdekkingsreizen. Reizen. Expedities. Reisverhalen--<plaats>--Italië,Paris,1857,eng,IE53062628
9992147492701488,Le voyage et la description d'Italie.,UDC 910.4 <45> Ontdekkingsreizen. Reizen. Expedities. Reisverhalen--<plaats>--Italië,"A Troyes;se vendent, a Paris",1656,,IE47210637
9992150502601488,"Voyage en France, en Italie, et aux isles de l'archipel.",UDC 910.4 <44> Ontdekkingsreizen. Reizen. Expedities. Reisverhalen--<plaats>--Frankrijk;UDC 910.4 <45> Ontdekkingsreizen. Reizen. Expedities. Reisverhalen--<plaats>--Italië,A Paris,1766,eng,IE43758861|IE43764143|IE43765560|IE43767121
9992262998501488,Italie van de Alpen tot de Etna,UDC 910.4 <45> Ontdekkingsreizen. Reizen. Expedities. Reisverhalen--<plaats>--Italië,Leiden,1879,,IE37239296
9992420607801488,Peregrinatio in terram sanctam,UDC 910.4 <33> Reisverhalen: Palestina; Heilig Land,Ciuem Spirensem,1490,,IE12626468
9992687108001488,Le saint voiage et pelerinage de la cite saincte de Hierusalem,UDC 910.4 <33> Reisverhalen: Palestina; Heilig Land,[Lyon],1489,,IE17712377
992850200101488,Les splendeurs de la Terre Sainte,"UDC 910.4 <33> ""18"" Ontdekkingsreizen. Reizen. Expedities. Reisverhalen--<plaats>--Oud-Palestina. Judea--19e eeuw. Periode 1800-1899",Paris,1889,,IE57068471
992860050101488,Pèlerinage en Terre-Sainte,"UDC 910.4 <33> ""18"" Ontdekkingsreizen. Reizen. Expedities. Reisverhalen--<plaats>--Oud-Palestina. Judea--19e eeuw. Periode 1800-1899;KUL #gsdb1;KADOC C1 Kerken en religie;KADOC bedevaarten;KADOC reisverhaal",Liège,1886,,IE57058267
993856430101488,"Souvenirs d'un voyage dans la Tartarie, le Thibet et la Chine pendant les années 1844, 1845 et 1846","KUL #SML: Sparrendaal;UDC 910.4 <515> Ontdekkingsreizen. Reizen. Expedities. Reisverhalen--<plaats>--Tibet;UDC 910.4 <5> Ontdekkingsreizen. Reizen. Expedities. Reisverhalen--<plaats>--Azië;SIN S03/0500 China: Geography, description and travel--Description, travels and tourism: 1840 -1911;SIN S22/0300 North-eastern provinces (Manchuria)--Geography, description and travel;SIN S23/0300 Mongolia and the Mongols (including Tannu Tuva, Buriats)--Geography, description and travel;SIN S24/0300 Tibet--Geography, description and travel;SIN S25/0300 Xinjiang--Geography, description and travel",Tournai,1850,,IE55362477
996933110101488,Les saints lieux,"UDC 910.4 <33> ""18"" Ontdekkingsreizen. Reizen. Expedities. Reisverhalen--<plaats>--Oud-Palestina. Judea--19e eeuw. Periode 1800-1899",Bruxelles,1852,,IE58495837|IE58497262|IE58498679
998031110101488,Voyage autour de la mer Morte et dans les terres bibliques exécuté de décembre 1850 à avril 1851,"UDC 910.4 <33> ""18"" Ontdekkingsreizen. Reizen. Expedities. Reisverhalen--<plaats>--Oud-Palestina. Judea--19e eeuw. Periode 1800-1899",Paris,1853,,IE56380338|IE56382277
998911280101488,Trois ans dans l'Afrique australe,"KUL #GBIB: jesuitica;KADOC brievenliteratuur;KADOC missionarissen;KADOC evangelisatie;KADOC reisverhaal;KADOC missiegebied;KADOC Jezuïeten - Belgische provincie (1814-1935);UDC 910.4 <689.4> Ontdekkingsreizen. Reizen. Expedities. Reisverhalen--<plaats>--Zambia. Noord-Rhodesië;UDC 916 Geography of Africa;KADOC Zambia [land in werelddeel Afrika];KADOC Depelchin, Henri;KADOC Croonenberghs, Charles;KADOC Zuid-Oost Afrika (x)",Bruxelles,1883,,IE54983351
9914991460101488,"Introduction au plan de Jérusalem et de ses faubourgs, telle que cette ville célèbre existait du temps de Jésus-Christ, d'après les auteurs sacrés et profanes; ...",KUL #GOSA:I.OT-NT.W;KUL #gsdb1;UDC 913.3 JERUSALEM Aardrijkskunde van Palestina--JERUSALEM;UDC 910.4 Ontdekkingsreizen. Reizen. Expedities. Reisverhalen,Bruxelles,1873,,IE55095571
9918144010101488,Guide-indicateur des sanctuaires et lieux historiques de la Terre-sainte,"UDC 915.694 JERUSALEM Aardrijkskunde van Israël--JERUSALEM;UDC 910.4 <33> ""18"" Ontdekkingsreizen. Reizen. Expedities. Reisverhalen--<plaats>--Oud-Palestina. Judea--19e eeuw. Periode 1800-1899",Louvain,1876,,IE55139638|IE55139820
9918675490101488,"The young pilgrim, or Alfred Campbell's Return to the East: and his travels in Egypt, Nubia, Asia Minor, Arabia, Petrea, &c.",UDC 910.4 <5-011> Ontdekkingsreizen. Reizen. Expedities. Reisverhalen--<plaats>--Nabije-Oosten. Midden-Oosten,London,1841,,IE55352566
9919565740101488,From Benguella to the territory of Yacca. Description of a Journey into Central and West Africa. ...,UDC 910.4 <673> Ontdekkingsreizen. Reizen. Expedities. Reisverhalen--<plaats>--Angola;UDC 910.4 <66> Ontdekkingsreizen. Reizen. Expedities. Reisverhalen--<plaats>--Westafrikaanse Staten en Gebieden. West-Afrika,London,1882,,IE54977477|IE54979117
9919666810101488,Blikken op Indië.,KADOC C3 Kunst en cultuur;KADOC geschiedenis;KADOC India [land in werelddeel Azië];UDC 908 <540> Heemkunde. Area studies--India;UDC 910.4 <540> Ontdekkingsreizen. Reizen. Expedities. Reisverhalen--<plaats>--India;UDC 915.40 Aardrijkskunde van Indië;UDC 954 Geschiedenis van India en Pakistan,Rotterdam,1870,san,IE55358114
9920139480101488,Voyages en Asie.,UDC 910.4 <5> Ontdekkingsreizen. Reizen. Expedities. Reisverhalen--<plaats>--Azië,Paris,1847,,IE55347515
